Field ID	Description	Category	datatype
4935	FI1 : numeric addition test	Fluid intelligence / reasoning	Categorical (single)
20165	FI1 : numeric addition test	Fluid intelligence / reasoning	Categorical (single)
5699	FI10 : arithmetic sequence recognition	Fluid intelligence / reasoning	Categorical (single)
20183	FI10 : arithmetic sequence recognition	Fluid intelligence / reasoning	Categorical (single)
5779	FI11 : antonym	Fluid intelligence / reasoning	Categorical (single)
20185	FI11 : antonym	Fluid intelligence / reasoning	Categorical (single)
5790	FI12 : square sequence recognition	Fluid intelligence / reasoning	Categorical (single)
20187	FI12 : square sequence recognition	Fluid intelligence / reasoning	Categorical (single)
5866	FI13 : subset inclusion logic	Fluid intelligence / reasoning	Categorical (single)
20189	FI13 : subset inclusion logic	Fluid intelligence / reasoning	Categorical (single)
20193	FI14 : alphanumeric substitution	Fluid intelligence / reasoning	Categorical (single)
4946	FI2 : identify largest number	Fluid intelligence / reasoning	Categorical (single)
20167	FI2 : identify largest number	Fluid intelligence / reasoning	Categorical (single)
4957	FI3 : word interpolation	Fluid intelligence / reasoning	Categorical (single)
20169	FI3 : word interpolation	Fluid intelligence / reasoning	Categorical (single)
4968	FI4 : positional arithmetic	Fluid intelligence / reasoning	Categorical (single)
20171	FI4 : positional arithmetic	Fluid intelligence / reasoning	Categorical (single)
4979	FI5 : family relationship calculation	Fluid intelligence / reasoning	Categorical (single)
20173	FI5 : family relationship calculation	Fluid intelligence / reasoning	Categorical (single)
4990	FI6 : conditional arithmetic	Fluid intelligence / reasoning	Categorical (single)
20175	FI6 : conditional arithmetic	Fluid intelligence / reasoning	Categorical (single)
5001	FI7 : synonym	Fluid intelligence / reasoning	Categorical (single)
20177	FI7 : synonym	Fluid intelligence / reasoning	Categorical (single)
5012	FI8 : chained arithmetic	Fluid intelligence / reasoning	Categorical (single)
20179	FI8 : chained arithmetic	Fluid intelligence / reasoning	Categorical (single)
5556	FI9 : concept interpolation	Fluid intelligence / reasoning	Categorical (single)
20181	FI9 : concept interpolation	Fluid intelligence / reasoning	Categorical (single)
1757	Facial ageing	Sun exposure	Categorical (single)
4067	Facial pains for 3+ months	Pain	Categorical (single)
2296	Falls in the last year	General health	Categorical (single)
21065	Family history of IBS	Digestive health	Categorical (single)
4559	Family relationship satisfaction	Mental health	Categorical (single)
103120	Fat removed from meat	Meat/fish yesterday	Categorical (single)
1797	Father still alive	Family history	Categorical (single)
1960	Fed-up feelings	Mental health	Categorical (single)
20449	Feelings of tiredness during worst episode of depression	Depression	Categorical (single)
20450	Feelings of worthlessness during worst period of depression	Depression	Categorical (single)
20496	Felt distant from other people in past month	Traumatic events	Categorical (single)
20487	Felt hated by family member as a child	Traumatic events	Categorical (single)
20494	Felt irritable or had angry outbursts in past month	Traumatic events	Categorical (single)
20489	Felt loved as a child	Traumatic events	Categorical (single)
20498	Felt very upset when reminded of stressful experience in past month	Traumatic events	Categorical (single)
102880	Feta intake	Milk/eggs/cheese yesterday	Categorical (single)
21073	Fever when IBS symptoms first began	Digestive health	Categorical (single)
100270	Filtered coffee intake	Hot/cold beverages yesterday	Categorical (single)
4294	Final attempt correct	Prospective memory	Categorical (single)
4581	Financial situation satisfaction	Mental health	Categorical (single)
90026	First weekday of wear	Accelerometer wear time duration	Categorical (single)
103140	Fish consumer	Meat/fish yesterday	Categorical (single)
100170	Fizzy drink intake	Hot/cold beverages yesterday	Categorical (single)
100530	Flavoured milk intake	Hot/cold beverages yesterday	Categorical (single)
20242	Fluid intelligence completion status	Fluid intelligence / reasoning	Categorical (single)
3081	Foot measured for bone density	Bone-densitometry of heel	Categorical (single)
3731	Former alcohol drinker	Alcohol	Categorical (single)
100720	Fortified wine intake	Alcoholic beverages yesterday	Categorical (single)
20436	Fraction of day affected during worst episode of depression	Depression	Categorical (single)
3005	Fracture resulting from simple fall	Medical conditions	Categorical (single)
3082	Fractured heel	Bone-densitometry of heel	Categorical (single)
4093	Fractured heel (left)	Bone-densitometry of heel	Categorical (single)
4096	Fractured heel (right)	Bone-densitometry of heel	Categorical (single)
2463	Fractured/broken bones in last 5 years	Medical conditions	Categorical (single)
20416	Frequency of consuming six or more units of alcohol	Alcohol use	Categorical (single)
20439	Frequency of depressed days during worst episode of depression	Depression	Categorical (single)
2050	Frequency of depressed mood in last 2 weeks	Mental health	Categorical (single)
20537	Frequency of difficulty controlling worry during worst period of anxiety	Anxiety	Categorical (single)
21028	Frequency of discomfort/pain getting better or stopping after a bowel movement	Digestive health	Categorical (single)
21025	Frequency of discomfort/pain in abdomen in last 3 months	Digestive health	Categorical (single)
20414	Frequency of drinking alcohol	Alcohol use	Categorical (single)
20407	Frequency of failure to fulfil normal expectations due to drinking alcohol in last year	Alcohol use	Categorical (single)
20409	Frequency of feeling guilt or remorse after drinking alcohol in last year	Alcohol use	Categorical (single)
1031	Frequency of friend/family visits	Social support	Categorical (single)
10740	Frequency of friend/family visits (pilot)	Social support	Categorical (single)
21033	Frequency of hard/lumpy stools in the last 3 months	Digestive health	Categorical (single)
21032	Frequency of harder stools when abdominal discomfort/pain started	Digestive health	Categorical (single)
2624	Frequency of heavy DIY in last 4 weeks	Physical activity	Categorical (single)
20413	Frequency of inability to cease drinking in last year	Alcohol use	Categorical (single)
20539	Frequency of inability to stop worrying during worst period of anxiety	Anxiety	Categorical (single)
1011	Frequency of light DIY in last 4 weeks	Physical activity	Categorical (single)
21034	Frequency of loose/mushy/watery stools in the last 3 months	Digestive health	Categorical (single)
20408	Frequency of memory loss due to drinking alcohol in last year	Alcohol use	Categorical (single)
20412	Frequency of needing morning drink of alcohol after heavy drinking session in last year	Alcohol use	Categorical (single)
3637	Frequency of other exercises in last 4 weeks	Physical activity	Categorical (single)
943	Frequency of stair climbing in last 4 weeks	Physical activity	Categorical (single)
991	Frequency of strenuous sports in last 4 weeks	Physical activity	Categorical (single)
2070	Frequency of tenseness / restlessness in last 2 weeks	Mental health	Categorical (single)
2080	Frequency of tiredness / lethargy in last 2 weeks	Mental health	Categorical (single)
2060	Frequency of unenthusiasm / disinterest in last 2 weeks	Mental health	Categorical (single)
20467	Frequency of unusual or psychotic experiences in past year	Unusual and psychotic experiences	Categorical (single)
971	Frequency of walking for pleasure in last 4 weeks	Physical activity	Categorical (single)
20427	Frequent trouble falling or staying asleep during worst period of anxiety	Anxiety	Categorical (single)
104340	Fresh tomato intake	Fruit/vegetables yesterday	Categorical (single)
104020	Fried potatoes intake	Fruit/vegetables yesterday	Categorical (single)
4570	Friendships satisfaction	Mental health	Categorical (single)
104400	Fruit consumers	Fruit/vegetables yesterday	Categorical (single)
100220	Fruit smoothie intake	Hot/cold beverages yesterday	Categorical (single)
102180	Fruitcake intake	Soup/snacks/pastries yesterday	Categorical (single)
22660	Gap coding	Employment history	Categorical (single)
101240	Garlic bread intake	Bread/pasta/rice yesterday	Categorical (single)
104220	Garlic intake	Fruit/vegetables yesterday	Categorical (single)
20458	General happiness	Happiness and subjective well-being	Categorical (single)
20459	General happiness with own health	Happiness and subjective well-being	Categorical (single)
2956	General pain for 3+ months	Pain	Categorical (single)
22006	Genetic ethnic grouping	Genotyping process and sample QC	Categorical (single)
22021	Genetic kinship to other participants	Genotyping process and sample QC	Categorical (single)
22018	Genetic relatedness exclusions	Interim genotype release	Categorical (single)
22001	Genetic sex	Genotyping process and sample QC	Categorical (single)
22000	Genotype measurement batch	Genotyping process and sample QC	Categorical (single)
4041	Gestational diabetes only	Medical conditions	Categorical (single)
10844	Gestational diabetes only (pilot)	Medical conditions	Categorical (single)
1170	Getting up in morning	Sleep	Categorical (single)
6075	Glasses worn/required (left)	Visual acuity	Categorical (single)
6074	Glasses worn/required (right)	Visual acuity	Categorical (single)
102900	Goat's cheese intake	Milk/eggs/cheese yesterday	Categorical (single)
104500	Grape intake	Fruit/vegetables yesterday	Categorical (single)
104490	Grapefruit intake	Fruit/vegetables yesterday	Categorical (single)
100200	Grapefruit juice intake	Hot/cold beverages yesterday	Categorical (single)
104120	Green bean intake	Fruit/vegetables yesterday	Categorical (single)
100420	Green tea intake	Hot/cold beverages yesterday	Categorical (single)
2030	Guilty feelings	Mental health	Categorical (single)
23073	H. pylori Definition I seropositivity for Helicobacter pylori	Infectious Diseases	Categorical (single)
23074	H. pylori Definition II seropositivity for Helicobacter pylori	Infectious Diseases	Categorical (single)
23060	HBV seropositivity for Hepatitis B Virus	Infectious Diseases	Categorical (single)
23061	HCV seropositivity for Hepatitis C Virus	Infectious Diseases	Categorical (single)
23055	HHV-6 overall seropositivity for Human Herpesvirus-6	Infectious Diseases	Categorical (single)
23056	HHV-6A seropositivity for Human Herpesvirus-6	Infectious Diseases	Categorical (single)
23057	HHV-6B seropositivity for Human Herpesvirus-6	Infectious Diseases	Categorical (single)
23058	HHV-7 seropositivity for Human Herpesvirus-7	Infectious Diseases	Categorical (single)
23064	HIV-1 seropositivity for Human Immunodeficiency Virus	Infectious Diseases	Categorical (single)
23068	HPV 16 Definition I seropositivity for Human Papillomavirus type-16	Infectious Diseases	Categorical (single)
23075	HPV 16 Definition II seropositivity for Human Papillomavirus type-16	Infectious Diseases	Categorical (single)
23069	HPV 18 seropositivity for Human Papillomavirus type-18	Infectious Diseases	Categorical (single)
23050	HSV-1 seropositivity for Herpes Simplex virus-1	Infectious Diseases	Categorical (single)
23051	HSV-2 seropositivity for Herpes Simplex virus-2	Infectious Diseases	Categorical (single)
23063	HTLV-1 seropositivity for Human T-Lymphotropic Virus 1	Infectious Diseases	Categorical (single)
2415	Had major operations	Operations	Categorical (single)
2724	Had menopause	Female-specific factors	Categorical (single)
2844	Had other major operations	Operations	Categorical (single)
1747	Hair colour (natural, before greying)	Sun exposure	Categorical (single)
2395	Hair/balding pattern	Male-specific factors	Categorical (single)
103080	Ham intake	Meat/fish yesterday	Categorical (single)
1707	Handedness (chirality/laterality)	Early life factors	Categorical (single)
1130	Hands-free device/speakerphone use with mobile phone in last 3 month	Electronic device use	Categorical (single)
4526	Happiness	Mental health	Categorical (single)
102820	Hard cheese intake	Milk/eggs/cheese yesterday	Categorical (single)
3799	Headaches for 3+ months	Pain	Categorical (single)
4548	Health satisfaction	Mental health	Categorical (single)
3393	Hearing aid user	Hearing	Categorical (single)
2247	Hearing difficulty/problems	Hearing	Categorical (single)
10793	Hearing difficulty/problems (pilot)	Hearing	Categorical (single)
2257	Hearing difficulty/problems with background noise	Hearing	Categorical (single)
4849	Hearing test done	Hearing test	Categorical (single)
19	Heel ultrasound method	Bone-densitometry of heel	Categorical (single)
4092	Heel ultrasound method (left)	Bone-densitometry of heel	Categorical (single)
4095	Heel ultrasound method (right)	Bone-densitometry of heel	Categorical (single)
100430	Herbal tea intake	Hot/cold beverages yesterday	Categorical (single)
3414	Hip pain for 3+ months	Pain	Categorical (single)
40011	Histology of cancer tumour	Cancer register	Categorical (single)
20118	Home area population density - urban or rural	Reception	Categorical (single)
102620	Homemade soup intake	Soup/snacks/pastries yesterday	Categorical (single)
100550	Hot chocolate intake	Hot/cold beverages yesterday	Categorical (single)
1518	Hot drink temperature	Diet	Categorical (single)
22032	IPAQ activity group	MET Scores	Categorical (single)
102120	Ice-cream intake	Soup/snacks/pastries yesterday	Categorical (single)
20112	Illnesses of adopted father	Family history	Categorical (single)
20113	Illnesses of adopted mother	Family history	Categorical (single)
20114	Illnesses of adopted siblings	Family history	Categorical (single)
20107	Illnesses of father	Family history	Categorical (single)
20110	Illnesses of mother	Family history	Categorical (single)
20111	Illnesses of siblings	Family history	Categorical (single)
22414	Image quality indicator	Abdominal composition	Categorical (single)
20418	Impact on normal roles during worst period of anxiety	Anxiety	Categorical (single)
20440	Impact on normal roles during worst period of depression	Depression	Categorical (single)
24025	Included in pollution study	Local environment	Categorical (single)
401	Index for card A in round	Reaction time	Categorical (single)
402	Index for card B in round	Reaction time	Categorical (single)
102040	Indian snacks intake	Soup/snacks/pastries yesterday	Categorical (single)
21072	Infection diagnosed alongside IBS when IBS symptoms began	Digestive health	Categorical (single)
21071	Infectious illness diagnosis status when IBS symptoms first began	Digestive health	Categorical (single)
100250	Instant coffee intake	Hot/cold beverages yesterday	Categorical (single)
100910	Intake of artificial sweetener added to cereal	Cereal yesterday	Categorical (single)
100380	Intake of artificial sweetener added to coffee	Hot/cold beverages yesterday	Categorical (single)
100500	Intake of artificial sweetener added to tea	Hot/cold beverages yesterday	Categorical (single)
100900	Intake of sugar added to cereal	Cereal yesterday	Categorical (single)
100370	Intake of sugar added to coffee	Hot/cold beverages yesterday	Categorical (single)
100490	Intake of sugar added to tea	Hot/cold beverages yesterday	Categorical (single)
10105	Internet user (pilot)	Electronic device use	Categorical (single)
5196	Intra-ocular pressure (IOP) method (left)	Intraocular pressure	Categorical (single)
5194	Intra-ocular pressure (IOP) method (right)	Intraocular pressure	Categorical (single)
110003	Invitation to assessment centre, acceptance	Recruitment	Categorical (single)
110001	Invitation to complete online 24-hour recall dietary questionnaire, acceptance	Diet by 24-hour recall	Categorical (single)
110005	Invitation to physical activity study, acceptance	Physical activity measurement	Categorical (single)
1940	Irritability	Mental health	Categorical (single)
23066	JCV seropositivity for Human Polyomavirus JCV	Infectious Diseases	Categorical (single)
22617	Job SOC coding	Employment history	Categorical (single)
132	Job code	Employment	Categorical (single)
20024	Job code - deduced	Employment	Categorical (single)
22601	Job coding	Employment history	Categorical (single)
22620	Job involved shift work	Employment history	Categorical (single)
816	Job involves heavy manual or physical work	Employment	Categorical (single)
806	Job involves mainly walking or standing	Employment	Categorical (single)
3426	Job involves night shift work	Employment	Categorical (single)
826	Job involves shift work	Employment	Categorical (single)
23059	KSHV seropositivity for Kaposi's Sarcoma-Associated Herpesvirus	Infectious Diseases	Categorical (single)
20423	Keyed up or on edge during worst period of anxiety	Anxiety	Categorical (single)
3773	Knee pain for 3+ months	Pain	Categorical (single)
103040	Lamb intake	Meat/fish yesterday	Categorical (single)
1379	Lamb/mutton intake	Diet	Categorical (single)
100300	Latte intake	Hot/cold beverages yesterday	Categorical (single)
104230	Leek intake	Fruit/vegetables yesterday	Categorical (single)
5463	Leg pain in calf/calves	Claudication and peripheral artery disease	Categorical (single)
4728	Leg pain on walking	Claudication and peripheral artery disease	Categorical (single)
5507	Leg pain on walking : action taken	Claudication and peripheral artery disease	Categorical (single)
5518	Leg pain on walking : effect of standing still	Claudication and peripheral artery disease	Categorical (single)
5452	Leg pain when standing still or sitting	Claudication and peripheral artery disease	Categorical (single)
5496	Leg pain when walking ever disappears while walking	Claudication and peripheral artery disease	Categorical (single)
5485	Leg pain when walking normally	Claudication and peripheral artery disease	Categorical (single)
5474	Leg pain when walking uphill or hurrying	Claudication and peripheral artery disease	Categorical (single)
5663	Length of longest manic/irritable episode	Mental health	Categorical (single)
1110	Length of mobile phone use	Electronic device use	Categorical (single)
21030	Less frequent bowel movements when abdominal discomfort/pain started	Digestive health	Categorical (single)
104240	Lettuce intake	Fruit/vegetables yesterday	Categorical (single)
2644	Light smokers, at least 100 smokes in lifetime	Smoking	Categorical (single)
10895	Light smokers, at least 100 smokes in lifetime (pilot)	Smoking	Categorical (single)
2936	Likelihood of resuming smoking	Smoking	Categorical (single)
103090	Liver intake	Meat/fish yesterday	Categorical (single)
103210	Lobster/crab intake	Meat/fish yesterday	Categorical (single)
2020	Loneliness, isolation	Mental health	Categorical (single)
2188	Long-standing illness, disability or infirmity	General health	Categorical (single)
21067	Long-term/recurrent antibiotics as child or teenager	Digestive health	Categorical (single)
20492	Longest period of mania or irritability	Mania	Categorical (single)
4836	Loud music exposure frequency	Hearing	Categorical (single)
100160	Low calorie drink intake	Hot/cold beverages yesterday	Categorical (single)
100540	Low calorie hot chocolate intake	Hot/cold beverages yesterday	Categorical (single)
102850	Low fat cheese spread intake	Milk/eggs/cheese yesterday	Categorical (single)
102810	Low fat hard cheese intake	Milk/eggs/cheese yesterday	Categorical (single)
23067	MCV seropositivity for Merkel Cell Polyomavirus	Infectious Diseases	Categorical (single)
1538	Major dietary changes in the last 5 years	Diet	Categorical (single)
104510	Mango intake	Fruit/vegetables yesterday	Categorical (single)
104050	Mashed potato intake	Fruit/vegetables yesterday	Categorical (single)
1787	Maternal smoking around birth	Early life factors	Categorical (single)
20454	Maximum frequency of taking cannabis	Cannabis use	Categorical (single)
103000	Meat consumers	Meat/fish yesterday	Categorical (single)
104520	Melon intake	Fruit/vegetables yesterday	Categorical (single)
3720	Menstruating today	Female-specific factors	Categorical (single)
21069	Method of coeliac disease/gluten sensitivity diagnosis	Digestive health	Categorical (single)
20012	Method of recording time when cancer first diagnosed	Medical conditions	Categorical (single)
20013	Method of recording time when non-cancer illness first diagnosed	Medical conditions	Categorical (single)
20014	Method of recording time when operation occurred	Operations	Categorical (single)
30503	Microalbumin in urine device ID	Urine processing	Categorical (single)
30505	Microalbumin in urine result flag	Urine assays	Categorical (single)
100890	Milk added to cereal	Cereal yesterday	Categorical (single)
102280	Milk chocolate intake	Soup/snacks/pastries yesterday	Categorical (single)
100520	Milk intake	Hot/cold beverages yesterday	Categorical (single)
1418	Milk type used	Diet	Categorical (single)
102140	Milk-based pudding intake	Soup/snacks/pastries yesterday	Categorical (single)
1930	Miserableness	Mental health	Categorical (single)
104440	Mixed fruit intake	Fruit/vegetables yesterday	Categorical (single)
104060	Mixed vegetable intake	Fruit/vegetables yesterday	Categorical (single)
22640	Mixture of day and night shifts worked	Employment history	Categorical (single)
55	Month of attending assessment centre	Reception	Categorical (single)
52	Month of birth	Baseline characteristics	Categorical (single)
1920	Mood swings	Mental health	Categorical (single)
21029	More frequent bowel movements when abdominal discomfort/pain started	Digestive health	Categorical (single)
20422	More irritable than usual during worst period of anxiety	Anxiety	Categorical (single)
1180	Morning/evening person (chronotype)	Sleep	Categorical (single)
1835	Mother still alive	Family history	Categorical (single)
102890	Mozzarella intake	Milk/eggs/cheese yesterday	Categorical (single)
100800	Muesli intake	Cereal yesterday	Categorical (single)
20540	Multiple worries during worst period of anxiety	Anxiety	Categorical (single)
104250	Mushroom intake	Fruit/vegetables yesterday	Categorical (single)
20262	Myopia diagnosis	Visual acuity	Categorical (single)
101230	Naan bread intake	Bread/pasta/rice yesterday	Categorical (single)
1190	Nap during day	Sleep	Categorical (single)
3404	Neck/shoulder pain for 3+ months	Pain	Categorical (single)
1970	Nervous feelings	Mental health	Categorical (single)
22650	Night shifts worked	Employment history	Categorical (single)
103980	No fat for cooking	Spreads/sauces/cooking oils yesterday	Categorical (single)
4825	Noisy workplace	Hearing	Categorical (single)
4501	Non-accidental death in close genetic family	Family history	Categorical (single)
2654	Non-butter spread type details	Diet	Categorical (single)
1339	Non-oily fish intake	Diet	Categorical (single)
41266	Number of babies delivered from single pregnancy	Summary Maternity	Categorical (single)
101350	Number of baguettes with butter/margarine	Bread/pasta/rice yesterday	Categorical (single)
101390	Number of baps with  butter/margarine	Bread/pasta/rice yesterday	Categorical (single)
101430	Number of bread rolls with  butter/margarine	Bread/pasta/rice yesterday	Categorical (single)
101310	Number of bread slices with butter/margarine	Bread/pasta/rice yesterday	Categorical (single)
101470	Number of crackers/crispbreads with butter/margarine	Bread/pasta/rice yesterday	Categorical (single)
21037	Number of days (out of 10) with abdominal pain	Digestive health	Categorical (single)
101510	Number of oatcakes with  butter/margarine	Bread/pasta/rice yesterday	Categorical (single)
101550	Number of other bread types with  butter/margarine	Bread/pasta/rice yesterday	Categorical (single)
41267	Number of previous pregnancies	Summary Maternity	Categorical (single)
20543	Number of things worried about during worst period of anxiety	Anxiety	Categorical (single)
20482	Number of times self-harmed	Self-harm behaviours	Categorical (single)
728	Number of vehicles in household	Household	Categorical (single)
6072	OCT measured (left)	Retinal optical coherence tomography	Categorical (single)
6070	OCT measured (right)	Retinal optical coherence tomography	Categorical (single)
100810	Oat crunch intake	Cereal yesterday	Categorical (single)
101260	Oatcakes intake	Bread/pasta/rice yesterday	Categorical (single)
1329	Oily fish intake	Diet	Categorical (single)
103160	Oily fish intake	Meat/fish yesterday	Categorical (single)
102490	Olives intake	Soup/snacks/pastries yesterday	Categorical (single)
102950	Omelette intake	Milk/eggs/cheese yesterday	Categorical (single)
20457	Ongoing addiction or dependence on illicit or recreational drugs	Addictions	Categorical (single)
20504	Ongoing addiction or dependence to over-the-counter medication	Addictions	Categorical (single)
20415	Ongoing addiction to alcohol	Addictions	Categorical (single)
20432	Ongoing behavioural or miscellanous addiction	Addictions	Categorical (single)
104260	Onion intake	Fruit/vegetables yesterday	Categorical (single)
104530	Orange intake	Fruit/vegetables yesterday	Categorical (single)
100190	Orange juice intake	Hot/cold beverages yesterday	Categorical (single)
3065	Ordering of blows	Spirometry	Categorical (single)
100740	Other alcohol intake	Alcoholic beverages yesterday	Categorical (single)
101270	Other bread intake	Bread/pasta/rice yesterday	Categorical (single)
100860	Other cereal intake	Cereal yesterday	Categorical (single)
102910	Other cheese intake	Milk/eggs/cheese yesterday	Categorical (single)
100330	Other coffee type	Hot/cold beverages yesterday	Categorical (single)
102230	Other dessert intake	Soup/snacks/pastries yesterday	Categorical (single)
100560	Other drink intake	Hot/cold beverages yesterday	Categorical (single)
102980	Other egg intake	Milk/eggs/cheese yesterday	Categorical (single)
2227	Other eye problems	Eyesight	Categorical (single)
103230	Other fish intake	Meat/fish yesterday	Categorical (single)
104590	Other fruit intake	Fruit/vegetables yesterday	Categorical (single)
102780	Other grain intake	Bread/pasta/rice yesterday	Categorical (single)
103100	Other meat intake	Meat/fish yesterday	Categorical (single)
102150	Other milk-based pudding intake	Soup/snacks/pastries yesterday	Categorical (single)
100510	Other non-alcoholic drinks	Hot/cold beverages yesterday	Categorical (single)
102500	Other savoury snack intake	Soup/snacks/pastries yesterday	Categorical (single)
2473	Other serious medical condition/disability diagnosed by doctor	Medical conditions	Categorical (single)
102380	Other sweets intake	Soup/snacks/pastries yesterday	Categorical (single)
100440	Other tea intake	Hot/cold beverages yesterday	Categorical (single)
104380	Other vegetables intake	Fruit/vegetables yesterday	Categorical (single)
103290	Other vegetarian alternative intake	Vegetarian alternatives yesterday	Categorical (single)
22027	Outliers for heterozygosity or missing rate	Genotyping process and sample QC	Categorical (single)
2178	Overall health rating	General health	Categorical (single)
680	Own or rent accommodation lived in	Household	Categorical (single)
4293	PM: final answer	Prospective memory	Categorical (single)
4292	PM: initial answer	Prospective memory	Categorical (single)
3079	Pace-maker	Operations	Categorical (single)
20244	Pairs matching completion status	Pairs matching	Categorical (single)
102010	Pancake intake	Soup/snacks/pastries yesterday	Categorical (single)
104270	Parsnip intake	Fruit/vegetables yesterday	Categorical (single)
1777	Part of a multiple birth	Early life factors	Categorical (single)
1249	Past tobacco smoking	Smoking	Categorical (single)
104280	Pea intake	Fruit/vegetables yesterday	Categorical (single)
104550	Peach/nectarine intake	Fruit/vegetables yesterday	Categorical (single)
104560	Pear intake	Fruit/vegetables yesterday	Categorical (single)
20523	Physical violence by partner or ex-partner as an adult	Traumatic events	Categorical (single)
20488	Physically abused by family as a child	Traumatic events	Categorical (single)
104570	Pineapple intake	Fruit/vegetables yesterday	Categorical (single)
102000	Pizza intake	Soup/snacks/pastries yesterday	Categorical (single)
100830	Plain cereal intake	Cereal yesterday	Categorical (single)
2237	Plays computer games	Electronic device use	Categorical (single)
104580	Plum intake	Fruit/vegetables yesterday	Categorical (single)
1389	Pork intake	Diet	Categorical (single)
103030	Pork intake	Meat/fish yesterday	Categorical (single)
100770	Porridge intake	Cereal yesterday	Categorical (single)
100010	Portion size	Typical diet yesterday	Categorical (single)
30523	Potassium in urine device ID	Urine processing	Categorical (single)
30525	Potassium in urine result flag	Urine assays	Categorical (single)
1359	Poultry intake	Diet	Categorical (single)
103060	Poultry intake	Meat/fish yesterday	Categorical (single)
102530	Powdered/instant soup intake	Soup/snacks/pastries yesterday	Categorical (single)
103200	Prawns intake	Meat/fish yesterday	Categorical (single)
3140	Pregnant	Medical conditions	Categorical (single)
5959	Previously smoked cigarettes on most/all days	Smoking	Categorical (single)
4674	Private healthcare	Other sociodemographic factors	Categorical (single)
20124	Probable recurrent major depression (moderate)	Mental health	Categorical (single)
20125	Probable recurrent major depression (severe)	Mental health	Categorical (single)
1349	Processed meat intake	Diet	Categorical (single)
20428	Professional informed about anxiety	Anxiety	Categorical (single)
20448	Professional informed about depression	Depression	Categorical (single)
6024	Program category	ECG during exercise	Categorical (single)
20018	Prospective memory result	Prospective memory	Categorical (single)
104420	Prune intake	Fruit/vegetables yesterday	Categorical (single)
104010	Pulses intake	Fruit/vegetables yesterday	Categorical (single)
100210	Pure fruit/vegetable juice intake	Hot/cold beverages yesterday	Categorical (single)
22682	Quality control indicator for IMT at 120 degrees	Carotid ultrasound	Categorical (single)
22683	Quality control indicator for IMT at 150 degrees	Carotid ultrasound	Categorical (single)
22684	Quality control indicator for IMT at 210 degrees	Carotid ultrasound	Categorical (single)
22685	Quality control indicator for IMT at 240 degrees	Carotid ultrasound	Categorical (single)
103280	Quorn intake	Vegetarian alternatives yesterday	Categorical (single)
20059	Reason ECG not completed	ECG during exercise	Categorical (single)
20060	Reason at-rest ECG performed without bicycle	ECG during exercise	Categorical (single)
20050	Reason blood sampling not attempted	Blood sample collection	Categorical (single)
41277	Reason for changing delivery place	Summary Maternity	Categorical (single)
2664	Reason for reducing amount of alcohol drunk	Alcohol	Categorical (single)
10818	Reason for reducing amount of alcohol drunk (pilot)	Alcohol	Categorical (single)
20058	Reason for skipping ECG	ECG during exercise	Categorical (single)
20054	Reason for skipping IOP (left)	Intraocular pressure	Categorical (single)
20053	Reason for skipping IOP (right)	Intraocular pressure	Categorical (single)
20062	Reason for skipping OCT (left)	Retinal optical coherence tomography	Categorical (single)
20061	Reason for skipping OCT (right)	Retinal optical coherence tomography	Categorical (single)
20051	Reason for skipping arterial stiffness	Arterial stiffness	Categorical (single)
20044	Reason for skipping grip strength (left)	Hand grip strength	Categorical (single)
20043	Reason for skipping grip strength (right)	Hand grip strength	Categorical (single)
20046	Reason for skipping hip measurement	Body size measures	Categorical (single)
20052	Reason for skipping refractometry (left)	Autorefraction	Categorical (single)
20055	Reason for skipping refractometry (right)	Autorefraction	Categorical (single)
20048	Reason for skipping sitting height	Body size measures	Categorical (single)
20042	Reason for skipping spirometry	Spirometry	Categorical (single)
20047	Reason for skipping standing height	Body size measures	Categorical (single)
20057	Reason for skipping visual acuity (left)	Visual acuity	Categorical (single)
20056	Reason for skipping visual acuity (right)	Visual acuity	Categorical (single)
20045	Reason for skipping waist	Body size measures	Categorical (single)
20041	Reason for skipping weight	Body size measures	Categorical (single)
3859	Reason former drinker stopped drinking alcohol	Alcohol	Categorical (single)
10853	Reason former drinker stopped drinking alcohol (pilot)	Alcohol	Categorical (single)
190	Reason lost to follow-up	Ongoing characteristics	Categorical (single)
20071	Reason no saliva sample collected	Saliva sample collection	Categorical (single)
20072	Reason no urine sample collected	Urine sample collection	Categorical (single)
20518	Recent changes in speed/amount of moving or speaking	Depression	Categorical (single)
20505	Recent easy annoyance or irritability	Anxiety	Categorical (single)
20510	Recent feelings of depression	Depression	Categorical (single)
20512	Recent feelings of foreboding	Anxiety	Categorical (single)
20507	Recent feelings of inadequacy	Depression	Categorical (single)
20519	Recent feelings of tiredness or low energy	Depression	Categorical (single)
20506	Recent feelings or nervousness or anxiety	Anxiety	Categorical (single)
20509	Recent inability to stop or control worrying	Anxiety	Categorical (single)
20514	Recent lack of interest or pleasure in doing things	Depression	Categorical (single)
22170	Recent medication for COPD (Chronic Obstructive Pulmonary Disease)	Medical information	Categorical (single)
22172	Recent medication for alpha-1 antitrypsin deficiency	Medical information	Categorical (single)
22179	Recent medication for asbestosis	Medical information	Categorical (single)
22167	Recent medication for asthma	Medical information	Categorical (single)
22174	Recent medication for bronchiectasis	Medical information	Categorical (single)
22169	Recent medication for chronic bronchitis	Medical information	Categorical (single)
22171	Recent medication for cystic fibrosis	Medical information	Categorical (single)
